Theta_Actual,Phi_Actual,Theta_Predicted,Phi_Predicted
0.75,0.305555555555556,0.41373664280784,0.465368023237638
0.555555555555556,0.111111111111111,0.557562756056427,0.440483914586599
0.194444444444444,0.444444444444444,0.510706170334184,0.426217868603119
0.305555555555556,0.972222222222222,0.590869068942768,0.422026432850987
0.333333333333333,0.416666666666667,0.607693004823626,0.437167642212013
0.777777777777778,0.472222222222222,0.419181085758437,0.322408499736719
0.777777777777778,0.0277777777777778,0.573687138110348,0.353714053512376
0.25,0.194444444444444,0.594180162441973,0.469598808420144
0.444444444444444,0.527777777777778,0.491044275433191,0.431399434704334
0.722222222222222,0.777777777777778,0.466266075890248,0.624980440913496
0.972222222222222,0.944444444444444,0.336539794939272,0.803539140344846
0.166666666666667,0.472222222222222,0.526962296003113,0.506043009491248
0.666666666666667,0.972222222222222,0.776039337400395,0.222986536703208
0.638888888888889,0.916666666666667,0.380828615441664,0.521136888461213
0.166666666666667,0.861111111111111,0.307157841536163,0.772295021770487
0.388888888888889,0.138888888888889,0.613974958911971,0.47181099972092
1,0.583333333333333,0.372695209187196,0.513663604493714
0.166666666666667,0.444444444444444,0.290485101554131,0.671969550588654
0.944444444444444,1,0.207591749643226,0.110391440441868
0.305555555555556,0.138888888888889,0.439686936065685,0.237694398214388
0.555555555555556,0.972222222222222,0.578114068107386,0.436499592735897
0.777777777777778,0.277777777777778,0.688975453268449,0.534434155196275
0.944444444444444,0.0277777777777778,0.333483643511537,0.696305551179647
0.861111111111111,0.833333333333333,0.494914333805429,0.471907929400697
0.888888888888889,0.694444444444444,0.510554853365184,0.273637055141618
0.694444444444444,0.416666666666667,0.662929449220351,0.53677814722141
0.277777777777778,0.444444444444444,0.676604279696666,0.483147013615846
0.777777777777778,0.305555555555556,0.470371718250272,0.0347225958536455
0.972222222222222,0.333333333333333,0.558427636338793,0.6455178717369
0.472222222222222,0.944444444444444,0.564194366303345,0.431099977949632
0.805555555555556,0.722222222222222,0.264663201397901,0.405238637498233
0.0277777777777778,0.694444444444444,0.546874684317693,0.412736557057622
0.0277777777777778,0.833333333333333,0.511142761381716,0.305771875418282
0.472222222222222,0.527777777777778,0.569155600173574,0.458396572009075
0.388888888888889,0.194444444444444,0.561627338345941,0.432538341499295
0.472222222222222,0.361111111111111,0.545173462471786,0.442452819165061
0.972222222222222,0.861111111111111,0.544324543456748,0.491603970177162
0.694444444444444,0.166666666666667,0.317188355742471,0.808591834450724
0.555555555555556,0.638888888888889,0.53482970603203,0.455536717253041
0.444444444444444,0.555555555555556,0.503499165134197,0.456471943299035
0.138888888888889,0.722222222222222,0.384703700961595,0.369392170642065
0.527777777777778,0.166666666666667,0.568679909197135,0.445327726686931
0.527777777777778,0.944444444444444,0.553593680912706,0.430969682875542
0.611111111111111,0.166666666666667,0.519342620789718,0.447069675424332
0.416666666666667,0.916666666666667,0.537962918567383,0.512236066258499
0.111111111111111,0.944444444444444,0.573259621181272,0.336813778380127
0.111111111111111,0.305555555555556,0.561432169991408,0.837887075335364
0.777777777777778,0.611111111111111,0.531288059628156,0.517148859912601
0.527777777777778,1,0.563659167745487,0.436659107420167
