Theta_Actual,Phi_Actual,Theta_Predicted,Phi_Predicted
45,-35,42.6942089325966,5.39618823227482
10,-70,4.17201607935009,-2.38490256359948
-55,-10,-12.1730568999591,-12.2588773997861
-35,85,-12.5943785478159,-7.5168056755828
-30,-15,28.6036174800131,-19.2925990523381
50,-5,3.40652347961129,-1.72254134177609
50,-85,9.34015686982205,-8.43324834700036
-45,-55,-11.1670319399808,-27.2351526752086
-10,5,7.27321219201241,5.43171877482591
40,50,-75.5141045225547,-13.3406954965876
85,80,-12.4451565820349,-7.66950994063933
-60,-5,-7.83938683250018,41.5816445940228
30,85,21.6480636239916,11.5632455308788
25,75,-37.8018264737738,21.6793173925511
-60,65,-83.494056851279,8.85168662246255
-20,-65,24.5970533942055,13.6586521817274
90,15,-25.1144566741154,-16.8460244946018
-60,-10,-17.111119843535,46.6870171649385
80,90,52.4262084716356,-26.7879690847625
-35,-65,-46.7658553609314,-4.10213822479089
10,85,0.938237068773049,-0.34988007509817
50,-40,25.2644427259564,13.7960626130791
80,-85,-52.2147353106277,12.02053030121
65,60,-3.99624823565959,-10.0764262742996
70,35,-7.62879381743657,-4.52163744996544
35,-15,3.39151497570168,-22.8440816866963
-40,-10,-11.4896881496186,19.7891761956326
50,-35,92.2712803947421,-29.7411064017941
85,-30,-53.600283850523,20.6411345782687
-5,80,7.37586403346481,-3.70857460158517
55,40,1.7803989923663,3.75453783296904
-85,35,-5.50811359469193,5.82394414370754
-85,60,-46.1177539555159,24.2632827329657
-5,5,-0.545521899362384,-0.674670016620809
-20,-55,0.768736225246755,-8.73127990349859
-5,-25,-2.12731786904637,-5.49765964774714
85,65,9.42230250027694,3.33052497851327
35,-60,-7.25993616339908,-2.77943975203208
10,25,13.6367103698291,14.8736420925698
-10,10,2.41366285371298,-4.35030736336114
-65,40,49.8938579033703,30.8423119960941
5,-60,-1.2224454190886,-3.85502417367364
5,80,4.01036784631394,-4.22060927164971
20,-60,-25.0978192702793,-0.156596266425481
-15,75,14.7578971294977,21.8739422635253
-70,80,-3.10350689015102,3.64070502445486
-70,-35,21.3926307343621,27.3029294757266
50,20,2.91840943745215,19.3263129841113
5,90,7.18441523188898,-2.94033148600388
70,75,-29.5174402786876,-6.36050878570403
35,-55,-71.0990345809849,-19.2253657213403
-40,-15,45.9690519658333,-7.79624525880831
70,-15,-88.7511084230534,-8.42308032559529
-20,65,-8.07907534296905,-6.04241982243558
10,-35,-2.76679401088496,1.80389790701666
-75,-65,0.245924105215181,5.16374405384521
-20,-10,-0.347533133533332,10.385951825507
15,85,-5.56696759546475,9.8252032274963
-15,-60,10.9548936824908,3.13086873966526
75,-85,72.4099471101082,-12.9143757672171
-45,-25,40.9750205142089,-21.3059137193955
-55,-30,10.5913951503822,6.1957660694338
5,-65,-18.6061808144443,-10.3503767791758
65,-50,-4.66136177181524,-18.4567892676333
-15,35,-2.81806441945891,16.963535531563
20,50,-10.7972171614788,-8.56061676082095
50,55,36.0187158023632,3.60981045911564
-15,-35,-12.3994822944178,-4.2246886936877
-40,20,19.4526057528628,-29.533897325976
85,-10,-23.8983712984359,-6.36456284672289
20,45,17.5891286907294,28.8005375587235
-25,-15,14.0655474804062,8.8335516094795
35,5,46.1808365680558,-14.5431837674878
65,80,5.73121454407156,-6.21358003828321
80,-65,34.8405509612337,1.78060984489305
75,20,-49.7885877627204,14.9401555041855
-85,-85,-35.0304439292517,-14.762308603301
55,-35,-34.0600747368415,-4.91642417508062
-35,-30,-90.4331267888176,34.9884101648622
-70,0,11.3008351516004,-1.13054513994439
-50,-50,-53.9767949333693,12.9444071962914
-70,55,-36.660909747636,9.92843611970571
70,-90,-17.9709993879724,18.3983091352483
-10,40,-10.0923805976716,-15.7456865503968
0,45,-7.8061709016401,-4.905062209333
45,-65,55.3903427904297,6.93479134775338
0,-85,-2.40925941199917,-11.2723349703867
-65,-75,36.5480318869309,6.39326644022965
-85,-20,-23.7084664845879,-27.465841488799
-40,5,1.0976723947627,-26.7087168337925
-90,80,-5.23598982275648,-6.26980445832081
-65,90,-42.5762279296937,-15.9145777962347
60,-5,15.4628281581985,17.4641676665667
90,-70,-105.582575667433,-13.5172551078719
75,70,10.5959718245238,-2.93068121598405
-75,-45,-48.1965080569768,26.7476578554461
-5,-15,-0.342376780198478,-3.49481009883269
45,60,68.8472641410401,24.9828980395578
70,-35,-96.6527200935773,36.1600422892793
65,-75,9.45522943637016,-13.8110803190449
-80,75,-85.5474107221825,-10.3594725451586
-85,-75,15.2932268332,-33.2243837516912
-75,-80,-33.9274509236957,8.97431761603843
65,90,-45.8641850825779,-22.9330144827493
10,-20,5.97331138907251,-9.84385561834443
-90,85,16.336565697603,-18.9293636133285
55,10,-82.0253559163592,-26.4830817149269
20,5,-18.2856477880301,8.93620348563238
-25,50,3.37294597074293,-17.7135180605125
75,-85,-10.907379131756,-24.1728334225671
15,40,-12.7006575090412,21.7491985982434
-55,-35,-100.016604690142,33.5955013031525
60,-25,-120.455643546342,56.3517638661728
-65,70,20.7715074681622,1.56626805368631
5,-70,1.92807090722997,-9.26159390178061
-75,-65,44.0596387467779,32.1370388334149
80,-25,15.4566465583317,20.883656474327
-55,-30,21.0717540835757,9.45724812526568
30,-90,-3.06214008829335,9.76182048402502
-35,-40,166.147867843907,28.3853877783835
-20,55,3.61977576958481,-3.13109509212467
-25,90,-2.73136098118397,-15.295474834577
5,-35,-0.220438700641992,-3.28596561213374
75,-30,7.65131376329531,-39.3102992159086
-70,-80,-16.0285701027364,47.8993157283789
