Theta_Actual,Phi_Actual,Theta_Pred,Phi_Pred
-90,-70,13.7502582010045,-0.939634320741747
-90,-65,46.6615272298,29.4665395926766
-90,-60,73.0135809355176,22.8103758631012
-90,-45,33.756415846415,-15.9482076458451
-90,-40,37.2870913415805,-29.789643186478
-90,-25,13.9698451254309,-6.18262821125269
-90,-15,22.068021256263,-2.6602976866727
-90,5,-51.2939133106162,5.88126081540513
-90,15,24.6402165457937,6.9758854475879
-90,25,-46.4225320832671,1.70206308941548
-90,70,8.3962258011144,-14.9631138421136
-85,-65,12.4534318133652,42.3012101233006
-85,-40,-15.1396027071536,-50.4676378620839
-85,0,54.1025006418055,-14.6677969583765
-85,10,11.0907655614621,47.1261238666944
-85,50,-18.6244463220579,14.8150293841504
-85,60,-22.4272400210276,2.87823216647587
-85,65,-36.2478016338881,-43.2115787163923
-80,-10,-48.4766156046305,-13.9320613202121
-80,35,-43.0483219912696,29.0814830094974
-80,40,-30.4212309857129,-22.2820389833932
-80,55,-5.42683011818651,47.9228013230435
-80,75,8.17353015741544,-36.3909998697258
-75,-55,50.9020746059208,24.8239863680431
-75,-35,9.89116534078386,6.94912174627545
-75,-25,-18.4277748954151,-16.2698795648371
-75,70,-23.8336536530119,71.1508500150936
-70,-75,-39.0688501938611,7.32081325462145
-70,-50,-3.55178578720664,-16.8615558074351
-70,-40,20.441838196779,-8.46631951763733
-70,-30,-34.3820051479159,-3.49238568265183
-70,35,19.8321670235887,-19.0246337594935
-70,55,-14.9568940705533,-9.27581297086018
-70,60,-32.465383849824,1.04710795860244
-70,75,-8.75661276422844,-4.81405235623112
-65,-90,-9.31251859004055,-2.68306775977744
-65,-65,91.5214772315677,-4.91365646864414
-65,-45,-25.7225328209838,-31.505475529283
-65,15,-26.6986791146394,-20.3094531292293
-60,-90,25.0453410207934,-13.4728132966261
-60,-20,-24.783041186858,-19.3801237251335
-60,-10,-11.5969179794777,7.12476288223355
-60,-5,17.0374616252391,-9.68483328187435
-60,0,-23.0609265932328,-4.98712015412748
-60,15,-13.0633193792785,-16.0262918010819
-60,25,31.4529160208848,42.7482588803155
-60,45,-40.6081063001346,-1.90695955515277
-60,75,29.6286133676641,-24.2308722922895
-55,-90,63.1574238881913,-53.2023894469638
-55,-65,7.10815557680233,9.69575710588415
-55,0,10.9832714425068,2.02708872629705
-55,65,9.92694792788861,0.70572269724367
-55,70,30.3996931140517,11.3333341896159
-55,75,13.8108954376841,-14.1187750913757
-55,80,-27.6166237334434,-15.2570151522518
-55,85,20.0965680347861,-9.94746958033287
-50,-85,20.0911430133076,46.8815440094773
-50,-80,-49.5228591725988,-16.7982313799368
-50,-75,73.8355925612937,29.2205454565366
-50,-30,1.69589394179743,-69.1248772615746
-50,10,34.9223048450102,21.9221952173649
-50,20,-3.48541821502372,-36.761753479032
-50,50,59.6769466858514,2.97152087382183
-50,75,-21.381332888126,-72.8591872897541
-50,90,20.7186403121775,0.862046227715985
-45,-75,15.1739934898543,-7.73032756194829
-45,-25,19.485376034091,-19.9625760342042
-45,5,16.7196506455812,7.90496263566555
-45,15,-25.7065353730178,15.4245054030114
-45,20,-29.0017424382511,-4.30473910701828
-45,35,-38.5374561231607,-12.0641540108964
-45,45,-43.6088691207429,-7.08146643498072
-40,-75,33.4094861113943,-0.490041573068785
-40,-65,-7.67447980710876,-22.5698823280506
-40,-55,-16.2829909519742,26.1121421686051
-40,-45,-83.4078524261524,-82.6117227133176
-40,-35,2.52518125958774,42.2856022609887
-40,-5,-30.1234984386021,5.10016442767121
-40,15,-27.7774142385646,-3.60718694753702
-40,20,14.3517100119239,4.86932773565467
-40,35,30.5695935875323,1.44284117709705
-40,55,-59.700325614428,15.3839410457088
-35,-85,23.2977283789665,-7.1480938220183
-35,0,-0.0917226933270023,29.0785002179437
-35,20,-22.5824967974068,-12.1695636846037
-35,25,-26.1120469733968,-30.4670766667946
-35,35,19.6179682450665,12.9720418761675
-35,50,-36.2664589155434,-16.4331515094702
-30,-90,-69.2154832983841,24.619259997214
-30,-85,-21.9208839012548,-15.4689943361407
-30,-70,-4.48079630452393,35.4445937186416
-30,-35,-4.23278785590055,-24.3391967224988
-30,-15,-54.5633472718552,-40.574695218602
-30,-10,-46.6060332532728,-44.3985373364832
-30,35,-30.0457068891306,3.2293541229145
-30,45,9.14358179046175,31.6724448014557
-30,50,-5.52035656635501,-0.654171683607866
-25,-85,-9.33508569777994,29.3248178372217
-25,-80,-1.1988175039984,-9.6690557549049
-25,-15,0.248194567898296,-12.6000861339746
-25,45,-2.82706500129209,13.4376652829831
-25,60,-33.7046376041757,45.1072951224183
-25,75,-15.2113999522238,-7.24674605088847
-20,-30,24.9576503432311,-5.23937131313202
-20,-25,-6.00909551347632,-30.3361270166565
-20,-15,49.8413070870923,36.8905210637973
-20,60,51.1546528058544,10.09252369678
-20,80,-39.5947061378355,-45.8024703239641
-20,85,-64.4470313497356,-39.7643032177623
-15,-80,-15.8431945439804,59.5597735048225
-15,-40,-50.3450417773698,30.9896814363855
-15,-20,7.0206159491005,-19.0777088365437
-15,25,11.3442616868944,-4.86395452959851
-15,80,3.49200359182186,8.89566991129293
-10,-55,4.54859879734183,-8.28808892075704
-10,15,-5.02789373232599,-6.55312743691288
-10,25,-18.4157350331265,14.8595253695223
-10,45,3.14017295858553,-0.538271858343284
-10,55,-1.74920520867018,26.6259604364111
-10,60,4.45962621109777,17.0525630163158
-10,75,48.874591618053,-30.4153787783182
-10,90,10.7241624965966,7.2865547642394
-5,-60,3.07030742193446,-16.0590146981685
-5,-45,-18.6245075205804,-41.3781155206811
-5,-30,-4.09060459885886,-26.7983256879712
-5,-20,-32.7892576225464,-11.5962377415336
-5,-15,-1.93496475688899,-12.4209809313727
-5,5,-10.2357619514861,1.11482449266886
-5,20,4.28049211471584,38.167856723057
0,-70,-11.7248356323043,-30.3603893191655
0,-55,-15.8750922060203,-35.4319547183346
0,-50,2.12887251955843,7.14323428826443
0,-45,13.3282760639418,-20.4548706871004
0,-30,3.92662265313594,-30.2714525941431
0,-25,-7.37779223044681,-18.8676255658481
0,-10,-3.21374400424231,-22.6846999090694
0,-5,9.81637150777256,-30.9612128962174
0,10,-3.729840981594,-29.2035750236334
0,30,8.96573109102655,-22.4684068704844
5,-5,14.2632812109981,1.24999762396562
5,0,-15.5065053463059,-21.439514795338
5,15,0.254664027949543,-11.3899698721455
5,65,-10.8630800360444,-13.259945523829
10,-70,-5.4830390448783,-17.0382601646651
10,-60,18.2911619796427,-27.4681111933216
10,-45,17.8200178446709,5.30906225001507
10,-40,-5.4990613231065,-0.443535901507333
10,-15,-18.5467029652858,-14.3588471600794
10,-10,-6.67643646107978,-32.0344910848534
10,35,-5.05124816008782,23.9056826569083
10,45,-9.2958753531398,-20.1512901832008
15,-80,12.845618548561,24.3966591447047
15,-75,-11.1702276090378,6.90255707120177
15,-65,-49.2088253019588,-9.06540711056736
15,-55,13.0108083517885,3.62622571469249
15,-40,7.85278504858226,-0.231822584337814
15,-35,-22.1068703268658,-28.2975608152496
15,-5,-6.75954536112078,4.73458905837423
