Theta,Phi,FFT_1,FFT_2,FFT_3,FFT_4,FFT_5,FFT_6,FFT_7,FFT_8
-90,-90,0,0.512229778287071,0.951448267116478,1,0.897071462927138,1,0.951448267116478,0.512229778287071
-90,-85,1,0.416790049028191,0.455646933567659,0.673523301661981,0,0.674044188772325,0.457033986428416,0.361383341659149
-90,-80,0.0272558760011671,1,0.0250624959490931,0.085385320862488,0.62511406066363,0.0678354986192536,0,0.934314334959744
-90,-75,0.261393424517042,0.38772371033991,1,0.336006314103187,0,0.327747082045,0.989629663181947,0.342288571727498
-90,-70,0.334457733279451,0.0578387543213917,0.525543993620512,0.332635269244704,1,0.337888565927206,0.515794253608447,0
-90,-65,1,0.762470243313092,0.0751417992337534,0.610807625373852,0,0.636521133243918,0.113466054847669,0.521745708982534
-90,-60,0.827701818417949,0.299200713928783,0.654650100889106,0,1,0,0.654650100889106,0.299200713928783
-90,-55,0,0.466980668292581,0.512138612230211,0.518922354998189,1,0.501062174696212,0.442435221291357,0.136265572394475
-90,-50,0,0.950383754337663,0.524299337333559,1,0.210721594646397,0.968014147689631,0.436492175718332,0.806775396863703
-90,-45,0,0.0989384111225458,0.9032625206203,1,0.220597149127682,1,0.9032625206203,0.0989384111225461
-90,-40,0.0299197987174497,1,0.351538819558857,0.00066917482834016,0.520918370323788,0,0.401975198814288,0.768083127511511
-90,-35,0,0.916590277414193,0.962641114615953,0.363360629112216,0.0789209882992313,0.315662607515745,1,0.572736227229444
-90,-30,1,0.536644194509569,0,0.596686467460364,0.0756132917385617,0.596686467460364,1.96495104386964e-16,0.536644194509568
-90,-25,0,0.301388927975212,0.952625175664642,0.237237296063653,0.274363834804839,0.286786130588394,1,0.439893622666131
-90,-20,0.9525866106216,0.759482567748499,1,0.772818143135878,0,0.746359786782983,0.969096383595848,0.788660968993945
-90,-15,1,0.312083593600393,0.146796922741981,0.300472408823916,0,0.306200630898062,0.151695722425304,0.334538291173145
-90,-10,0.0382366845530741,0.474231798527922,0.966114301249845,0.0260755343563354,0.714874044200822,0,1,0.348465189249238
-90,-5,0.595064859830851,0,1,0.194469298213886,0.661491376465177,0.19971922961097,0.994950276120593,0.0337890649468279
-90,0,0.280505616344215,0.275885170725819,0.366248997281248,2.15172345455021e-17,1,0,0.366248997281248,0.27588517072582
-90,5,0.215126493035578,0.25275489258505,0.992636960543509,0.426037548456237,0,0.419640888112886,1,0.300996529116455
-90,10,1,0.514917505706232,0.43004557638527,0.516185547057547,0,0.493409126463817,0.416115910594603,0.435199298485691
-90,15,1,0.826580683434071,0.157162588509503,0.751285600563114,0,0.753569372555006,0.15534002958232,0.959517801578529
-90,20,0.0109128431593324,1,0.0175520149401745,0.111989019364999,0.241579316569453,0.129745754047508,0,0.9907259072397
-90,25,0,0.150724963839628,0.941935673412431,0.367534571213879,1,0.366857699815323,0.942712597089262,0.156084227883073
-90,30,0.187293944088626,9.20536267057148e-16,0.963756696897101,0.595793020261588,1,0.595793020261588,0.963756696897102,0
-90,35,0.629235935459784,1,0.27557437069049,0.00905497089853235,0.211528293710397,0,0.263704419591471,0.948174403917086
-90,40,1,0.740048153351576,0.74654118169805,0,0.342032674063778,0.0412677767294499,0.819243906740392,0.375008286163362
-90,45,0,0.678731791031618,1,0.992467243673332,0.945891007699756,0.942979879819503,0.928904957421287,0.762274629975921
-90,50,1,0,0.203548911277978,0.141190967395717,0.0491784920305407,0.109378957735329,0.162652802319154,0.264965086372252
-90,55,0.923155273753837,0,1,0.34660454334683,0.878924854691091,0.329194024200707,0.9806021721044,0.12096278871943
-90,60,1,0.154337567955536,0.461538943653557,0.477091027217091,0,0.477091027217091,0.461538943653557,0.154337567955536
-90,65,0,0.425140563884217,0.607405704308702,1,0.497648619243964,0.998864794069104,0.607625870635637,0.432115651099458
-90,70,0,0.0211246647085566,0.288283869254551,0.275096364022817,1,0.282440902887343,0.275922599868374,0.0374868186851036
-90,75,1,0,0.966105577878942,0.667105438809542,0.00368143696641585,0.661769136136918,0.936444683191123,0.137518391678147
-90,80,0.80335322544585,0,0.664275416242537,1,0.566029010069769,0.988360710417156,0.682885176316689,0.164870963247901
-90,85,0,1,0.41668873666648,0.25697692102032,0.249591577486798,0.252087910155615,0.412558024761339,0.985579300226348
-90,90,0,0.506088001272453,0.398048612999859,0.631137093827744,1,0.631137093827744,0.398048612999859,0.506088001272453
-85,-90,1,0.271479586844166,0.00816011443856221,0.0518887537921912,0.0851855051433489,0.0467347441833998,0,0.265902230376468
-85,-85,0.154736843309389,0.524260251204669,0.185860765814844,0.992018358684746,0,1,0.224255380043364,0.383967424901738
-85,-80,0,0.114554643195741,0.789985337440133,0.728433345634874,1,0.741599472583736,0.7719999630279,0.248547853252293
-85,-75,0.435469113796256,0.958868857638241,0.31976327841186,0,1,0.00390043265270042,0.330617540364878,0.915329677408146
-85,-70,0.261059011450632,0.586011301714647,0,0.979441334609857,0.688362051991891,1,0.0302373064107282,0.628295054308343
-85,-65,1,0.417899889771711,0.0150307703364639,0.902435744464938,0.290568058343383,0.876955931025219,0,0.643098805823286
-85,-60,0,0.988868322803446,0.954129179412486,0.505068745677614,0.317978953088628,0.505599994858895,0.955767091505903,1
-85,-55,0.790090164501153,0.412923139474863,0.280875744698963,0.514390782025607,0,0.572979893782837,0.244646340030985,1
-85,-50,0.797973968002174,0.187885800184739,0.480668633602437,1,0.56103899882343,0.982406537196184,0.416206971235005,0
-85,-45,1,0.366239030840684,0.600749503130134,0.0360264508264096,0,0.0360264508264096,0.600749503130134,0.366239030840685
-85,-40,0,0.451887828480472,0.493992292560573,0.288837849924648,1,0.321667534900151,0.542141537120242,0.22637585312107
-85,-35,0.721260558409717,0.721449894741675,0.131561670781104,0.642377742633545,0,0.661537737153117,0.104353329100372,1
-85,-30,0,0.998427767049198,0.350971413056278,0.301696361868499,0.2009466890436,0.301976949647923,0.350278794897781,1
-85,-25,0.725448127769903,1,0.898921728448482,0,0.107373146134541,0.0191610133187903,0.934978937963365,0.855602465192162
-85,-20,0.072849125269659,0.255680565931817,0.99564238650757,0.631046520436159,0.780385777636236,0.610429971325026,1,0
-85,-15,0.696193814340956,0.609407705976057,0.143701335814617,1,0,0.993055633336801,0.155816348565423,0.625962449978189
-85,-10,0.718662976937258,1,0.363866630064307,0.667425837726149,0,0.682059378469699,0.250495403697884,0.41505103425417
-85,-5,0.988894201189092,0.0792926437606066,0.135708889342365,0.983509161166712,0.41526484018097,1,0.160981164881278,0
-85,0,0,1,0.267832688132759,0.442498563899724,0.176550443764952,0.447133293764565,0.260802800768321,0.98592083039798
-85,5,1,0.239829224191038,0.172927984352675,0.660837637274317,0,0.649552526445783,0.189397945200842,0.160452339198148
-85,10,0.440663421969527,0.319464353664653,0.955413119168436,0.79054663308034,0.445912353838902,0.817840731141852,1,0
-85,15,0,0.679423707465583,0.261096536912029,0.957150743955523,0.680716597532902,1,0.19817057084963,0.959912208103685
-85,20,0.147768588630904,1,0.0174804775519763,0.947560490253564,0.893675567334321,0.967387298090166,0,0.880434843705157
-85,25,0.520653801306779,1,0.477817709741101,0.280456011851662,0,0.281533094905064,0.47791187037033,0.997375417787053
-85,30,0.712791430544098,0.0936424976456935,0.999761515788284,0.297902059066348,0,0.298186044384206,1,0.0940193180354242
-85,35,1,0.138501259831936,0.63765517865003,0.934027104570293,0.275578337375552,0.946535402062007,0.659948709001161,0
-85,40,0,0.503402576377682,0.939612872043357,0.871758749257393,1,0.847677349639447,0.948164257657121,0.638756814665177
-85,45,0.236308880792432,0.139542291833261,0.829681744732844,0.632800220117228,1,0.642454368872249,0.863543974248382,0
-85,50,0.0637926514638678,0.831908704625181,0.979559424543405,0.428603079491139,0,0.450467916366264,1,0.935277731303601
-85,55,0.794611250816481,0.450288760678239,0,0.986082255158976,0.812042145582333,1,0.00490118896475986,0.352768682815176
-85,60,1,0.308345301618679,0.407755311272931,0.29451206202953,0,0.294573813168272,0.407543122082825,0.308655711865797
-85,65,0.553211170403522,0.354745019665,1,5.81624905324208e-05,0.364396098895744,0,0.999114722507916,0.336975478791757
-85,70,0.669431302546528,0.0489125489797051,1,0.167116932205299,0,0.174855588536706,0.998479514583689,0.0772026978641154
-85,75,1,0.211107949910264,0.282294120445436,0,0.0319435980626463,0.0229204215647343,0.24608121028218,0.162829976354345
-85,80,1,0,0.277972219728491,0.757846078349169,0.268770471982789,0.781213194213512,0.241442609167541,0.0164470662508533
-85,85,1,0.756118843740637,0.329391613745721,0.296039697387602,0,0.280573662069732,0.329176061569794,0.742718866166279
-85,90,0.09188229297972,0.990836509136433,0.671829017253925,0.497874765284898,0,0.500589245139175,0.679754939821627,1
-80,-90,0.854763284372508,0.293574955828813,0,0.0212706237573464,1,0.00243830425851454,0.0509343932010628,0.416886257087229
-80,-85,0.197592840722049,0.244775773483023,0.968064320633415,0.377979355532778,0.284719782725314,0.412807484629178,1,0
-80,-80,1,0.559942317777467,0.260645813524866,0.561685452512226,0,0.560174043253665,0.22358583773499,0.365959301917499
-80,-75,0,0.730874208325336,0.500861043422416,0.185721017514662,1,0.195967573552681,0.500664622648797,0.775117547968207
-80,-70,0.436602152288862,0.0654801979509803,0.462184384013929,0.983171994821233,0.766373701108697,1,0.481154613569895,0
-80,-65,0.291698207515273,0.443433948307442,0.341357208594833,1,0,0.975432198352591,0.395632132387492,0.190309052788844
-80,-60,0,0.156447873627876,0.183921312436903,0.998254566687635,0.0689662597173358,1,0.179986209287187,0.140267003281526
-80,-55,1,0.384200255286973,0.575330965236443,0,0.234536077284646,0.00438347836428308,0.553113140399684,0.20738971063731
-80,-50,0.452022522977805,1,0,0.144110002128917,0.341047624994471,0.119535589868661,0.0665206787311642,0.956045163716532
-80,-45,1,0.098290591684304,0,0.178722373079233,0.110387550118441,0.178722373079233,6.43534020863178e-16,0.0982905916843044
-80,-40,0,0.787172198182583,0.317539183946021,0.566769238845,0.6962929780106,0.585454981008081,0.36176712525093,1
-80,-35,0,0.343501311075212,1,0.421270644393585,0.509238808790776,0.417347482436538,0.987927620537803,0.286575588897845
-80,-30,0,0.887488270557113,0.991902902330813,0.387255584698285,0.192344631663766,0.382001103177184,1,0.929993598323445
-80,-25,0.33747970481869,0.663912953096396,0.861720536692755,0.798516075727905,0.146107688722393,0.713883576558735,1,0
-80,-20,0.108600848408845,1,0.945894453408468,0.679932884834171,0,0.715056232386764,0.99998723159112,0.742576517022772
-80,-15,0,0.842609792961195,0.410539724783588,1,0.0046961881760823,0.992453840438842,0.413766850697753,0.901622901221508
-80,-10,0,0.86770291845997,0.507720788230106,1,0.429865837777589,0.962523876932118,0.465101161944793,0.79561479451306
-80,-5,0,0.874853027617348,0.775304767491809,0.280180664568109,0.213511020005952,0.262969043462447,0.821866228198089,1
-80,0,1,0.461883579970096,0.276814027653432,0.804734188401565,0.246486418508355,0.754419506127756,0.197157677930165,0
-80,5,0,0.0424882630352243,0.493132604979885,0.801605819054202,1,0.799404409657214,0.4187168443915,0.170268750604171
-80,10,1,0.802402402060182,0.594609254186331,0.427830125256601,0,0.389009134941042,0.538130304625351,0.600053607738095
-80,15,0,0.111001835061522,0.437242073668692,0.317585410079158,1,0.294870475440797,0.424896605885001,0.287403748581717
-80,20,0.745638101870238,0.424963553777346,0.428728863232728,0,1,0.000585963890376753,0.467008643406153,0.243707637339061
-80,25,0,0.466337433620419,0.390812230913373,0.134506764194087,1,0.135954319249086,0.386742851594604,0.471033253752855
-80,30,0.0549269219927308,1,0.229578073094354,0.364372349775734,0,0.364228257770496,0.229232812901985,0.999447123175629
-80,35,1,0.188845782662245,0,0.0364185765053988,0.0791633596017214,0.0264085007939364,0.00885224545824502,0.1540397322072
-80,40,0.137973299739351,0.645198187397454,0,1,0.178817722872109,0.977105342666607,0.0335648254632876,0.752659675453899
-80,45,1,0,0.41139154915742,0.694567810935105,0.759945792948321,0.72622606026169,0.42771750696331,0.198366767715089
-80,50,1,0.344037009419531,0,0.475952614025579,0.539559516045977,0.500231957168128,0.0315815180645217,0.483589660927945
