Theta_True,Phi_True,Theta_Ens_Pred,Phi_Ens_Pred,Theta_SVR_Pred,Phi_SVR_Pred,Theta_NN_Pred,Phi_NN_Pred
45,-35,-85.6230289103096,-59.0834505385315,-0.0802168126171381,-0.689990744015248,-8.86575500144966,8.022402521426
10,-70,-10.1669489782698,-95.2886361403592,1.90823338036603,4.59923303770623,0.281067238179872,2.36157465831116
-55,-10,16.8452741673352,78.2028457462735,-13.1538143351989,-4.11112981976828,0.437338956067236,3.15992241002451
-35,85,-2.48776950887947,-6.62174233293671,-0.0534484782185558,-1.51819785519854,1.50719090294747,-1.50175612985687
-30,-15,41.5327955934135,-42.4600705811498,-0.0802168126171381,-0.689990744015248,5.11604080154555,3.22567928343776
50,-5,-101.383249892021,70.091725999544,-0.0802164260798293,-0.689992278417762,4.23948621228561,-1.55485042783972
50,-85,-17.4620481732328,13.5294321263702,-13.1448602414998,-20.8097308790008,-0.317264398318542,1.82644140417756
-45,-55,10.4920042462315,-47.1588360451969,-0.0802168126171381,-0.689990744015248,-9.78245075425248,-4.27028438547707
-10,5,-8.28460384186211,7.58243282115441,14.0103210691955,-0.588124765438621,2.63760176230004,1.77849164298858
40,50,-60.130004260506,-100.543581866326,-0.0802168126171381,-0.689990744015248,1.32077568412004,10.0340022984387
85,80,18.5269581333413,-46.2068885785642,-0.0802168126179339,-0.68999074401394,0.281939236213887,-2.0482574197857
-60,-5,-48.733971442877,5.83601018217799,6.11466805350919,-4.64096560537121,2.65690116730396,-0.958509757650447
30,85,-60.8170744196502,63.6435718661834,-0.0802168126171381,-0.689990744015248,13.8913409598515,-11.7009117174062
25,75,-33.753320458115,28.0289281918784,-0.0802168023250687,-0.689990732146597,10.5959998649328,-12.2530060102198
-60,65,40.7121851033571,21.674206413602,-0.0802413707939564,-0.690040532904149,-6.08812416640875,-2.20900918546221
-20,-65,39.2842946213434,15.0130243209259,6.9311907535407,0.0427207090768178,0.320456976801722,0.911716375891643
90,15,44.593343283926,-67.4094691165689,-0.0802142143812858,-0.689985521142987,1.15440064766528,12.0152727163147
-60,-10,56.5941599071139,-22.9388468535471,-0.0802067439015275,-0.689963595621094,-3.90213010764813,-3.09730071651215
80,90,-72.7045351360021,96.3932759202512,-0.0802168126171381,-0.689990744015248,13.6507978177936,-5.15078875253295
-35,-65,-95.2635012673703,-59.5116958756876,-0.080218939571651,-0.689991352562075,0.634560660825159,-2.89644824085443
10,85,-2.43442058964344,-92.8160612640324,-0.955125022198359,7.40091676707478,1.15260884553476,2.34445436907446
50,-40,1.27403672911723,4.71168896655364,-0.0802168126171381,-0.689990744015248,-12.4426145501281,-7.10588123731421
80,-85,-44.1306784121297,6.10382357717823,-0.079489441943366,-0.69040658099442,5.70963966410342,-7.92845277116321
65,60,-90.4233475010544,-85.7855508930069,-0.0828959307838772,-0.687422038717713,-1.0104896065798,4.87945241781333
70,35,-104.084732176157,-19.4395108838986,-0.0802168126172518,-0.689990744015105,3.33229877467738,5.46548211285563
