Theta_Actual,Phi_Actual,Theta_Predicted,Phi_Predicted
45,-35,6.72261904761905,-23.9809920634921
10,-70,-0.982996031746032,-15.5918055555556
-55,-10,-2.10111291486291,-22.5701388888889
-35,85,-14.0931944444444,10.2676587301587
-30,-15,7.33430555555556,-9.9918253968254
50,-5,-5.18329365079365,-18.7385119047619
50,-85,0.383253968253969,2.88072871572871
-45,-55,-14.9995436507937,-28.1264285714286
-10,5,2.12059523809524,-12.8412103174603
40,50,13.3952579365079,7.01498015873016
85,80,-6.06315476190476,-5.04714285714286
-60,-5,3.3344246031746,-1.67958333333333
30,85,10.3220436507937,-1.69269841269841
25,75,-9.03136904761905,8.34732683982684
-60,65,-6.44917207792208,-13.4989357864358
-20,-65,24.7684722222222,6.94922619047619
90,15,-0.531293290043289,7.49138888888889
-60,-10,-2.12253968253968,-2.4449981962482
80,90,-22.4790079365079,-10.7572023809524
-35,-65,-5.69906746031746,-0.909126984126985
10,85,3.34110930735931,0.0518452380952378
50,-40,-6.07801587301587,-2.27583333333333
80,-85,11.8323376623377,18.4752182539683
65,60,-2.87676587301587,3.26525793650794
70,35,-11.4474007936508,-8.56903318903319
35,-15,3.90422619047619,2.04416666666667
-40,-10,0.0782738095238089,-8.18718253968254
50,-35,-13.3055158730159,-24.4176587301587
85,-30,-21.9268650793651,28.4916666666667
-5,80,-1.10480158730159,-11.4498015873016
55,40,-0.470198412698414,13.4400595238095
-85,35,1.67519841269841,2.77767857142857
-85,60,18.6352182539682,-10.2830158730159
-5,5,-2.24857142857143,23.1360515873016
-20,-55,0.725694444444444,-9.5620238095238
-5,-25,-1.69240079365079,-15.8549278499278
85,65,-9.25686507936508,8.89200396825396
35,-60,-7.31424603174603,18.2551587301587
10,25,-5.08930735930736,0.330892857142857
-10,10,-1.20414682539683,13.0245833333333
-65,40,23.415873015873,8.67093253968254
5,-60,0.964940476190477,-28.3661158857482
5,80,3.36420634920635,-0.504642857142857
20,-60,-5.75755952380953,-0.870138888888888
-15,75,-3.40492063492064,11.6786111111111
-70,80,-1.82847222222222,-11.9860317460317
-70,-35,-1.31507936507937,-8.56853174603174
50,20,-5.32978535353535,23.3488095238095
5,90,2.14049603174603,-4.25593073593074
70,75,-5.32842532467532,-2.17045634920635
35,-55,-7.35281204906205,-2.246443001443
-40,-15,-14.7379996392496,13.293630952381
70,-15,-33.6281349206349,9.58699855699856
-20,65,5.79964646464647,-13.4721031746032
10,-35,-0.610146103896103,2.16539682539683
-75,-65,2.69055555555555,7.65244047619048
-20,-10,0.775714285714286,6.58267857142857
15,85,-0.0758730158730173,24.3497763347763
-15,-60,13.6433134920635,-3.43224206349207
75,-85,0.418134920634923,-3.18196428571429
-45,-25,4.02045634920635,-2.72886904761905
-55,-30,5.66956349206349,3.40478174603175
5,-65,-3.03690476190476,-0.163730158730159
