Theta_True,Phi_True,Theta_Predicted,Phi_Predicted
45,-35,-85.6230289103096,-59.0834505385315
10,-70,-10.1669489782698,-95.2886361403592
-55,-10,16.8452741673352,78.2028457462735
-35,85,-2.48776950887947,-6.62174233293671
-30,-15,41.5327955934135,-42.4600705811498
50,-5,-101.383249892021,70.091725999544
50,-85,-17.4620481732328,13.5294321263702
-45,-55,10.4920042462315,-47.1588360451969
-10,5,-8.28460384186211,7.58243282115441
40,50,-60.130004260506,-100.543581866326
85,80,18.5269581333413,-46.2068885785642
-60,-5,-48.733971442877,5.83601018217799
30,85,-60.8170744196502,63.6435718661834
25,75,-33.753320458115,28.0289281918784
-60,65,40.7121851033571,21.674206413602
-20,-65,39.2842946213434,15.0130243209259
90,15,44.593343283926,-67.4094691165689
-60,-10,56.5941599071139,-22.9388468535471
80,90,-72.7045351360021,96.3932759202512
-35,-65,-95.2635012673703,-59.5116958756876
10,85,-2.43442058964344,-92.8160612640324
50,-40,1.27403672911723,4.71168896655364
80,-85,-44.1306784121297,6.10382357717823
65,60,-90.4233475010544,-85.7855508930069
70,35,-104.084732176157,-19.4395108838986
35,-15,30.9897194581981,5.47458275734996
-40,-10,50.2317694445511,-106.680163428297
50,-35,51.5444283887724,-33.4537964461249
85,-30,87.0668364759468,-26.3108241038472
-5,80,4.57214320791667,-9.25216864913008
55,40,-59.6617102950972,30.0161118162052
-85,35,-24.3384395710623,-12.6554574182988
-85,60,-135.959429913382,-67.0006984450067
-5,5,-13.5908014369725,-68.0583739424677
-20,-55,-19.6587380728206,-64.3979371606529
-5,-25,36.5590249069635,61.2270119806498
85,65,-7.71230881434153,23.3199843414132
35,-60,-58.0166103494912,-105.433911573073
10,25,3.6519136160618,2.34257731358575
-10,10,-35.7910183742126,59.7296769513708
-65,40,50.1783004593991,82.3100777126454
5,-60,-16.356486508251,-30.6504680732671
5,80,-22.5237436656792,20.2388053774504
20,-60,25.4043365956609,48.040555422981
-15,75,-1.27255357133338,11.1164541850027
-70,80,81.5726837278472,-35.4040211778977
-70,-35,-63.2454092897204,57.3901943665656
50,20,5.4094542720523,30.2814831593265
5,90,1.36062594078662,-10.0778634535265
70,75,10.7219283735953,0.798005859036209
35,-55,3.94814642087243,-9.3515810975658
-40,-15,-27.906314478705,13.627482561854
70,-15,-149.368856780076,-41.1271185562518
-20,65,-31.7705468544306,-46.1797780674245
10,-35,-27.8618053587274,-45.513912873093
-75,-65,95.8267328256003,83.7322786319172
-20,-10,-15.3216510657336,59.7893108239576
15,85,-2.31215718330164,20.470350961403
-15,-60,28.0741328252748,-55.6043377544679
75,-85,-49.4758702006046,-14.5894119609947
-45,-25,39.0622775071425,38.0048416568457
-55,-30,37.4041550585854,-21.3746383066914
5,-65,-1.36598638692675,-1.10701691111535
65,-50,-160.59812398153,53.2197773544247
-15,35,-31.8556584315299,65.1941112743873
20,50,-2.08109868333486,119.266066235567
50,55,8.26692462914212,-9.34533739398671
